"batch_id","product_id","title","url","viewport","viewport_width","viewport_height","response_status","document_scroll_width","document_scroll_height","horizontal_overflow","h1_count","heading_hierarchy_valid","image_count","broken_image_count","quote_form_present","cta_count","internal_link_count","banned_phrases","screenshot_truncated","screenshot_path","screenshot_bytes","viewport_screenshot_path","viewport_screenshot_bytes","qa_status","qa_failures","error"
"BATCH-07","7095","CUSTOM PET FOOD PACKAGING BOX","http://localhost/hopgiayvpn/product/custom-pet-food-packaging-box/","mobile-390","390","844","200","390","16168","false","1","true","16","0","true","3","6","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-07/7095-custom-pet-food-packaging-box-mobile-390.png","1154711","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-07/7095-custom-pet-food-packaging-box-mobile-390-viewport.png","112029","PASS","",""
"BATCH-07","7101","PET SUPPLEMENT PACKAGING BOX","http://localhost/hopgiayvpn/product/pet-supplement-packaging-box/","desktop-1440","1440","1000","200","1440","10569","false","1","true","16","0","true","3","6","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-07/7101-pet-supplement-packaging-box-desktop-1440.png","1594808","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-07/7101-pet-supplement-packaging-box-desktop-1440-viewport.png","313085","PASS","",""
"BATCH-07","7101","PET SUPPLEMENT PACKAGING BOX","http://localhost/hopgiayvpn/product/pet-supplement-packaging-box/","mobile-390","390","844","200","390","16167","false","1","true","16","0","true","3","6","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-07/7101-pet-supplement-packaging-box-mobile-390.png","1138150","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-07/7101-pet-supplement-packaging-box-mobile-390-viewport.png","110261","PASS","",""
"BATCH-08","235","Custom Essential Oil Packaging Box with Insert","http://localhost/hopgiayvpn/product/custom-essential-oil-packaging-box-with-insert/","desktop-1440","1440","1000","200","1440","10803","false","1","true","18","0","true","3","4","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-08/235-custom-essential-oil-packaging-box-with-insert-desktop-1440.png","1655845","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-08/235-custom-essential-oil-packaging-box-with-insert-desktop-1440-viewport.png","308047","PASS","",""
"BATCH-08","235","Custom Essential Oil Packaging Box with Insert","http://localhost/hopgiayvpn/product/custom-essential-oil-packaging-box-with-insert/","mobile-390","390","844","200","390","16600","false","1","true","18","0","true","3","4","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-08/235-custom-essential-oil-packaging-box-with-insert-mobile-390.png","1176009","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-08/235-custom-essential-oil-packaging-box-with-insert-mobile-390-viewport.png","94524","PASS","",""
"BATCH-08","7192","CUSTOM PINK PAPER GIFT BAG WITH TWISTED HANDLES","http://localhost/hopgiayvpn/product/custom-pink-paper-gift-bag-with-twisted-handles/","desktop-1440","1440","1000","200","1440","10635","false","1","true","20","0","true","3","5","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-08/7192-custom-pink-paper-gift-bag-with-twisted-handles-desktop-1440.png","1524675","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-08/7192-custom-pink-paper-gift-bag-with-twisted-handles-desktop-1440-viewport.png","250192","PASS","",""
"BATCH-08","7192","CUSTOM PINK PAPER GIFT BAG WITH TWISTED HANDLES","http://localhost/hopgiayvpn/product/custom-pink-paper-gift-bag-with-twisted-handles/","mobile-390","390","844","200","390","16137","false","1","true","20","0","true","3","5","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-08/7192-custom-pink-paper-gift-bag-with-twisted-handles-mobile-390.png","1115227","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-08/7192-custom-pink-paper-gift-bag-with-twisted-handles-mobile-390-viewport.png","82500","PASS","",""
"BATCH-09","234","Custom Incense Packaging Box with Window","http://localhost/hopgiayvpn/product/custom-incense-packaging-box-with-window/","desktop-1440","1440","1000","200","1440","10374","false","1","true","9","0","true","3","1","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-09/234-custom-incense-packaging-box-with-window-desktop-1440.png","1685980","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-09/234-custom-incense-packaging-box-with-window-desktop-1440-viewport.png","396816","PASS","",""
"BATCH-09","234","Custom Incense Packaging Box with Window","http://localhost/hopgiayvpn/product/custom-incense-packaging-box-with-window/","mobile-390","390","844","200","390","16276","false","1","true","9","0","true","3","1","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-09/234-custom-incense-packaging-box-with-window-mobile-390.png","1178181","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-09/234-custom-incense-packaging-box-with-window-mobile-390-viewport.png","136786","PASS","",""
"BATCH-09","829","Custom Vial Boxes for Glass Vials, Ampoules and Lab Samples","http://localhost/hopgiayvpn/product/custom-vial-packaging-box/","desktop-1440","1440","1000","200","1440","12195","false","1","true","22","0","true","3","4","","false","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-09/829-custom-vial-packaging-box-desktop-1440.png","1872703","artifacts/product-seo-release-checkpoint-v1/screenshots/BATCH-09/829-custom-vial-packaging-box-desktop-1440-viewport.png","285341","PASS","",""
